epoch,loss
0,4.427926540374756
500,0.03091377392411232
1000,0.01412914227694273
1500,0.011920521035790443
2000,0.01077390369027853
2500,0.01038049254566431
3000,0.010016555897891521
3500,0.010228356346487999
4000,0.010178152471780777
4500,0.009912390261888504
5000,0.01017452497035265
5500,0.01004286203533411
6000,0.010048734955489635
6500,0.009930180385708809
7000,0.009788068942725658
7500,0.009968998841941357
8000,0.01022444386035204
8500,0.009952950291335583
9000,0.009908930398523808
9500,0.00968114286661148
